OBJECTID,FREQUENCY,NEIGHNAME,BASE_ZONE,GENERAL_ZONING,ACRES,geom
1733,17,SWEETBRIAR,LR,Mixed Use,8.094454093,
424,13,DAWSON,GR,Commercial,5.445150562,
1365,4,PLEASANT VALLEY,GO,Mixed Use,27.32346163,
1651,29,SOUTH RIVER CITY,SF-4A,Single Family,2.36903861,
1984,8,WESTOVER HILLS,GO,Office,19.9033002,
1459,1,ROGERS HILL,LR,Mixed Use,0.233344013,
485,2,DEL VALLE EAST,PUD,Planned Unit Development,1603.307466,
331,1,CHERRY CREEK,W/LO,Industrial,6.167357979,
188,3,BLUFF SPRINGS,W/LO,Industrial,9.027644557,
973,2,JOLLYVILLE,MF-3,Multi-Family,15.66599792,
1857,4,WALNUT CREEK--PIONEER HILL,PUD,Planned Unit Development,53.8330123,
140,2,BARTON HILLS,LR,Commercial,2.847421345,
401,16,DAVENPORT LAKE AUSTIN,CR,Commercial,167.821724,
1602,4,SOUTH LAMAR,SF-5,Single Family,3.543189788,
958,1,JOLLYVILLE,AG,"Agriculture, Development Reserve",0.007954958,
2106,1,ZILKER,PUD,Planned Unit Development,0.934147053,
1024,40,MCKINNEY,CS,Mixed Use,18.38004321,
88,4,AVERY RANCH--LAKELINE,CS-1,Commercial,1.187586081,
290,3,CENTRAL EAST AUSTIN,LI,Industrial,0.222989259,
1309,3,ONION CREEK,CS,Commercial,10.34323842,
1597,3,SOUTH LAMAR,P,Public,6.282576477,
1346,12,PECAN SPRINGS-SPRINGDALE,CS,Commercial,30.77094302,
1834,17,VILLAGE AT WESTERN OAKS,P,Public,193.9395366,
538,1,DOWNTOWN,NO,Office,0.303104669,
466,1,DEL VALLE,MF-1,Multi-Family,2.261179086,
1127,1,MONTOPOLIS,RR,"Rural, Lake Austin Residence",0.025476415,
1846,2,WALNUT CREEK--PIONEER HILL,GO,Office,5.662638902,
1910,22,WEST OAK HILL,DR,"Agriculture, Development Reserve",191.1654929,
1509,68,ROSEWOOD,MF-3,Multi-Family,31.14221819,
1140,169,NORTH AUSTIN CIVIC ASSOCIATION,LI,Industrial,151.9193165,
1776,70,UNIVERSITY HILLS,GR,Commercial,28.22308456,
606,3,FOUR POINTS,CS,Commercial,13.64038753,
187,3,BLUFF SPRINGS,SF-6,Single Family,23.45122298,
748,4,GRACY WOODS,CH,Commercial,32.25065272,
967,3,JOLLYVILLE,LI,Industrial,14.03558335,
1873,26,WEST AUSTIN NEIGHBORHOOD GROUP,LR,Commercial,2.411266088,
43,7,ALLANDALE,CS,Vertical Mixed Use,48.68372091,
1807,1,UPPER BOGGY CREEK,NO,Office,0.423562743,
1190,20,NORTH LOOP,CS-1,Commercial,2.56247013,
95,6,AVERY RANCH--LAKELINE,LO,Office,12.83837321,
601,122,EAST OAK HILL,SF-3,Single Family,29.31927333,
1369,2,PLEASANT VALLEY,LO,Mixed Use,18.63250974,
1816,3,UT,GO,Office,1.700689474,
1679,9,SPICEWOOD,SF-1,Single Family,23.12537161,
1543,4,SLAUGHTER CREEK,LR,Commercial,5.141600256,
1379,61,PLEASANT VALLEY,SF-3,Single Family,10.57288606,
358,4,CIRCLE C SOUTH,SF-4A,Single Family,22.82756698,
117,12,BARTON CREEK MALL AREA,LR,Commercial,24.711338,
1754,11,TECH RIDGE,MF-2,Multi-Family,155.0602784,
1774,4,UNIVERSITY HILLS,CS,Commercial,0.962471393,
134,2,BARTON HILLS,GO,Mixed Use,17.78473667,
1312,2,ONION CREEK,GO,Office,26.35042532,
469,2,DEL VALLE,PUD,Planned Unit Development,415.896157,
2036,30,WINDSOR PARK,LR,Vertical Mixed Use,6.963357792,
1738,4,SWEETBRIAR,RR,"Rural, Lake Austin Residence",4.550839837,
1191,26,NORTH LOOP,CS-1,Vertical Mixed Use,5.705597195,
1648,9,SOUTH RIVER CITY,PUD,Planned Unit Development,25.99463449,
2038,130,WINDSOR PARK,MF-2,Multi-Family,35.21919058,
892,6,HOLLY,MF-2,Multi-Family,0.794562853,
335,2,CHESTNUT,GR,Vertical Mixed Use,0.358600581,
54,1,ALLANDALE,MF-4,Multi-Family,7.665580048,
1402,7,POND SPRINGS,SF-6,Single Family,16.36498878,
1982,2,WESTOVER HILLS,CS,Commercial,15.37353174,
372,57,CORONADO HILLS,MF-3,Multi-Family,5.047103841,
1335,3,PARKER LANE,MF-1,Multi-Family,8.71970256,
1938,44,WEST UNIVERSITY,CS,Mixed Use,7.247695373,
1915,1,WEST OAK HILL,IP,Industrial,90.02118025,
317,24,CHERRY CREEK,MF-2,Multi-Family,166.7009284,
145,17,BARTON HILLS,P,Public,312.0675876,
1734,40,SWEETBRIAR,MF-2,Multi-Family,32.82439156,
1606,15,SOUTH MANCHACA,CS,Vertical Mixed Use,4.102631701,
627,9,FRANKLIN PARK,CS,Commercial,13.05288809,
631,6,FRANKLIN PARK,GR,Mixed Use,0.872611785,
1439,3,ROBINSON RANCH,GR,Commercial,24.3511412,
625,1,FOUR POINTS,W/LO,Industrial,9.651131716,
753,4,GRACY WOODS,GO,Mixed Use,15.2562725,
1712,10,ST. JOHN,GR,Commercial,1.555938361,
1525,68,SAMSUNG--PIONEER CROSSING,PUD,Planned Unit Development,1369.000113,
2058,6,WINDSOR ROAD,GR,Vertical Mixed Use,2.995866829,
1498,2,ROSEWOOD,CS-1,Commercial,0.107813004,
1935,11,WEST OAK HILL,W/LO,Industrial,8.2857342,
1060,23,MCNEIL,SF-3,Single Family,39.53899512,
352,1,CIRCLE C SOUTH,LO,Office,5.663344338,
1835,29,VILLAGE AT WESTERN OAKS,RR,"Rural, Lake Austin Residence",220.118685,
438,13,DAWSON,W/LO,Industrial,1.548607633,
761,25,GRACY WOODS,LR,Commercial,39.30154267,
1920,33,WEST OAK HILL,LR,Mixed Use,28.31149605,
1117,9,MONTOPOLIS,LO,Mixed Use,7.372860364,
610,1,FOUR POINTS,LO,Mixed Use,0.198555565,
1234,6,NORTH UNIVERSITY,CS-1,Vertical Mixed Use,0.20044667,
171,5,BLUFF SPRINGS,GR,Mixed Use,46.57950394,
1589,5,SOUTH LAMAR,LR,Commercial,13.60396109,
1491,7,ROSEDALE,SF-2,Single Family,43.53883712,
1942,50,WEST UNIVERSITY,GO,Mixed Use,8.565347434,
379,3,CORONADO HILLS,SF-6,Single Family,2.676779341,
768,3,GRACY WOODS,NO,Mixed Use,1.139227703,
1253,3,NORTHWEST HILLS,GO,Office,11.78439414,
403,3,DAVENPORT LAKE AUSTIN,CS-1,Commercial,7.637385257,
180,22,BLUFF SPRINGS,MH,Mobile Home,151.6662029,
505,12,DITTMAR--SLAUGHTER,MF-2,Multi-Family,77.66676383,
1052,6,MCNEIL,MF-3,Multi-Family,85.87191255,
1891,38,WEST CONGRESS,GR,Mixed Use,10.36983262,
1098,19,MLK-183,MF-3,Multi-Family,12.47875483,
1987,12,WESTOVER HILLS,LR,Commercial,45.7510898,
2065,2,WINDSOR ROAD,NO,Mixed Use,0.353754218,
1149,11,NORTH AUSTIN CIVIC ASSOCIATION,RR,"Rural, Lake Austin Residence",1.275853942,
2094,3,ZILKER,GR,Mixed Use,4.494839498,
1736,3,SWEETBRIAR,P,Public,3.080081439,
2059,2,WINDSOR ROAD,LO,Mixed Use,0.360547762,
1153,55,NORTH AUSTIN CIVIC ASSOCIATION,SF-6,Single Family,26.97348441,
608,4,FOUR POINTS,GO,Office,56.51197481,
619,12,FOUR POINTS,R&D,Industrial,659.7700161,
1573,16,SOUTH BRODIE,SF-3,Single Family,51.50060459,
1541,2,SLAUGHTER CREEK,LO,Mixed Use,2.403534581,
895,5,HOLLY,NO,Mixed Use,0.309392305,
1992,7,WESTOVER HILLS,PUD,Planned Unit Development,73.41013098,
590,40,EAST OAK HILL,MF-1,Multi-Family,101.6737145,
1523,1,SAMSUNG--PIONEER CROSSING,MF-3,Multi-Family,73.55157142,
537,1,DOWNTOWN,MF-6,Multi-Family,0.519649714,
1387,65,POND SPRINGS,GR,Commercial,286.574435,
907,2,HYDE PARK,LO,Vertical Mixed Use,0.268469913,
1720,3,ST. JOHN,MF-4,Multi-Family,6.908717286,
1521,1,SAMSUNG--PIONEER CROSSING,LR,Mixed Use,2.386399068,
199,2,BOULDIN CREEK,L,Commercial,0.009414978,
1044,36,MCNEIL,GR,Commercial,131.6174229,
1540,1,SLAUGHTER CREEK,LI,Industrial,0.350102181,
632,42,FRANKLIN PARK,LI,Industrial,294.757263,
529,2,DOWNTOWN,LO,Mixed Use,0.310111997,
1130,26,MONTOPOLIS,SF-4A,Single Family,44.02246424,
1577,20,SOUTH LAMAR,CS,Commercial,38.09836222,
1490,1,ROSEDALE,PUD,Planned Unit Development,75.78763574,
227,4,BRENTWOOD,GR,Vertical Mixed Use,0.368404094,
1458,14,ROGERS HILL,LR,Commercial,48.77644865,
1121,4,MONTOPOLIS,MF-1,Multi-Family,0.186441043,
978,153,JOLLYVILLE,SF-2,Single Family,1610.007392,
1403,3,POND SPRINGS,W/LO,Industrial,8.353390343,
759,4,GRACY WOODS,LO,Mixed Use,4.697977735,
515,71,DITTMAR--SLAUGHTER,SF-3,Single Family,295.0060883,
1892,4,WEST CONGRESS,IP,Industrial,1.380390689,
2016,11,WINDSOR HILLS,W/LO,Industrial,4.268531909,
71,1,ANDERSON MILL,MF-1,Multi-Family,28.91465253,
1519,3,SAMSUNG--PIONEER CROSSING,GR,Mixed Use,23.12419865,
1085,112,MLK-183,CS,Commercial,180.7844691,
1898,17,WEST CONGRESS,P,Public,18.31294611,
127,8,BARTON CREEK MALL AREA,SF-3,Single Family,36.97824793,
865,4,HIGHLAND PARK,CS-1,Commercial,1.039558747,
1383,15,POND SPRINGS,CS,Commercial,37.20786789,
322,2,CHERRY CREEK,NO,Office,4.473258954,
258,80,BRODIE LANE,SF-2,Single Family,549.0209778,
428,4,DAWSON,LO,Vertical Mixed Use,0.900505547,
83,1,ANDERSON MILL,UNZ,Unzoned,0.979060792,
462,1,DEL VALLE,IP,Industrial,19.73573222,
1181,13,NORTH LAMAR,P,Public,13.18924858,
1759,11,TECH RIDGE,PUD,Planned Unit Development,81.70300881,
473,26,DEL VALLE,SF-3,Single Family,93.30783933,
1977,44,WESTGATE,SF-2,Single Family,13.61896098,
1579,5,SOUTH LAMAR,CS-1,Commercial,0.803323718,
1506,32,ROSEWOOD,LR,Mixed Use,1.927889151,
1777,34,UNIVERSITY HILLS,GR,Mixed Use,53.04464409,
52,1,ALLANDALE,LR,Mixed Use,0.147078536,
455,5,DEL VALLE,AV,Public,88.64773157,
1588,32,SOUTH LAMAR,LO,Office,32.89283929,
1095,35,MLK-183,LR,Commercial,7.959133373,
611,4,FOUR POINTS,LO,Office,55.21132811,
1202,75,NORTH LOOP,MF-2,Multi-Family,6.897606225,
77,67,ANDERSON MILL,RR,"Rural, Lake Austin Residence",913.2316095,
265,1,BULL CREEK,GR,Mixed Use,6.809577507,
532,8,DOWNTOWN,LR,Commercial,1.862924097,
440,8,DECKER LAKE,CH,Commercial,95.12029272,
67,5,ANDERSON MILL,GR,Mixed Use,44.48544204,
191,57,BOULDIN CREEK,CS,Mixed Use,5.151590883,
597,8,EAST OAK HILL,R&D,Industrial,10.48640186,
233,7,BRENTWOOD,LR,Vertical Mixed Use,0.505609224,
531,1,DOWNTOWN,LO,Vertical Mixed Use,0.712144539,
250,8,BRODIE LANE,LR,Commercial,21.42472431,
149,49,BARTON HILLS,SF-3,Single Family,559.3905647,
409,5,DAVENPORT LAKE AUSTIN,P,Public,2.912475727,
179,4,BLUFF SPRINGS,MF-4,Multi-Family,32.14170179,
135,3,BARTON HILLS,GO,Office,52.02844283,
465,3,DEL VALLE,LR,Commercial,10.92915505,
64,30,ANDERSON MILL,DR,"Agriculture, Development Reserve",706.5780439,
588,34,EAST OAK HILL,LR,Commercial,40.96466189,
257,16,BRODIE LANE,RR,"Rural, Lake Austin Residence",213.7995506,
430,6,DAWSON,LR,Mixed Use,0.299136662,
445,2,DECKER LAKE,LI,Industrial,149.9217837,
383,11,CRESTVIEW,CS,Mixed Use,1.228528981,
547,26,EAST CESAR CHAVEZ,GR,Mixed Use,2.066519137,
112,5,BARTON CREEK MALL AREA,DR,"Agriculture, Development Reserve",10.08798478,
119,1,BARTON CREEK MALL AREA,MF-2,Multi-Family,6.146055924,
415,1,DAVENPORT LAKE AUSTIN,SF-4A,Single Family,0.129840479,
99,2,AVERY RANCH--LAKELINE,MF-4,Multi-Family,15.43804095,
586,14,EAST OAK HILL,LO,Mixed Use,31.34585437,
137,1,BARTON HILLS,GR,Mixed Use,2.247167124,
334,66,CHESTNUT,CS,Vertical Mixed Use,7.38597,
224,14,BRENTWOOD,CS-1,Vertical Mixed Use,0.826337985,
369,3,CORONADO HILLS,LR,Mixed Use,2.740955373,
423,10,DAWSON,GO,Vertical Mixed Use,6.113406009,
65,6,ANDERSON MILL,GO,Office,13.81583267,
90,3,AVERY RANCH--LAKELINE,GO,Office,84.9215499,
449,11,DECKER LAKE,PUD,Planned Unit Development,1604.141804,
450,11,DECKER LAKE,RR,"Rural, Lake Austin Residence",311.4006928,
261,2,BULL CREEK,CS-1,Commercial,0.085415146,
351,4,CIRCLE C SOUTH,GR,Mixed Use,93.93808494,
80,4,ANDERSON MILL,SF-3,Single Family,8.120083227,
268,4,BULL CREEK,LR,Commercial,5.058848879,
318,3,CHERRY CREEK,MF-3,Multi-Family,10.34229879,
615,10,FOUR POINTS,MF-2,Multi-Family,142.8070316,
563,37,EAST CONGRESS,GR,Commercial,57.22207493,
584,17,EAST OAK HILL,IP,Industrial,19.16384433,
427,6,DAWSON,LO,Office,0.890864811,
92,10,AVERY RANCH--LAKELINE,GR,Mixed Use,133.4281174,
96,4,AVERY RANCH--LAKELINE,LR,Commercial,4.861138495,
45,4,ALLANDALE,CS-1,Vertical Mixed Use,0.343220245,
53,6,ALLANDALE,MF-3,Multi-Family,5.055748185,
362,1,CORONADO HILLS,CS-1,Commercial,0.05485659,
468,5,DEL VALLE,P,Public,186.2024716,
211,4,BOULDIN CREEK,NO,Mixed Use,0.263991273,
212,2,BOULDIN CREEK,NO,Office,0.45454845,
461,1,DEL VALLE,GR,Mixed Use,0.338656843,
289,6,CENTRAL EAST AUSTIN,GR,Vertical Mixed Use,0.569675968,
434,17,DAWSON,MF-5,Multi-Family,3.963593874,
339,3,CHESTNUT,LR,Vertical Mixed Use,0.266062432,
150,1,BARTON HILLS,SF-5,Single Family,5.553019057,
326,67,CHERRY CREEK,SF-1,Single Family,175.3617281,
504,4,DITTMAR--SLAUGHTER,MF-1,Multi-Family,4.912495207,
139,7,BARTON HILLS,LO,Office,45.24523085,
168,1,BLUFF SPRINGS,CS-1,Commercial,0.068873557,
548,4,EAST CESAR CHAVEZ,GR,Vertical Mixed Use,0.448361487,
387,4,CRESTVIEW,GO,Office,2.4438659,
61,6,ANDERSON MILL,CS,Commercial,28.91848792,
217,5,BOULDIN CREEK,SF-5,Single Family,0.597757162,
340,4,CHESTNUT,MF-2,Multi-Family,0.286129598,
368,1,CORONADO HILLS,LR,Commercial,0.186173148,
614,1,FOUR POINTS,MF-1,Multi-Family,6.097670128,
172,8,BLUFF SPRINGS,LI,Industrial,34.74796964,
622,62,FOUR POINTS,SF-2,Single Family,220.3376575,
511,4,DITTMAR--SLAUGHTER,P,Public,29.92581151,
292,10,CENTRAL EAST AUSTIN,LO,Office,0.728407288,
407,2,DAVENPORT LAKE AUSTIN,LR,Commercial,0.19909342,
147,4,BARTON HILLS,RR,"Rural, Lake Austin Residence",5.384077474,
141,5,BARTON HILLS,MF-2,Multi-Family,84.11397973,
551,2,EAST CESAR CHAVEZ,LR,Commercial,0.137248418,
69,15,ANDERSON MILL,LO,Office,56.98587843,
284,5,CENTRAL EAST AUSTIN,GO,Mixed Use,0.13969745,
314,18,CHERRY CREEK,LO,Office,59.39906301,
363,9,CORONADO HILLS,GO,Office,32.9786299,
313,1,CHERRY CREEK,LO,Mixed Use,7.878067572,
594,8,EAST OAK HILL,MH,Mobile Home,5.958110685,
550,5,EAST CESAR CHAVEZ,LO,Office,0.951145372,
74,1,ANDERSON MILL,NO,Office,1.224751045,
156,5,BERGSTROM,GR,Commercial,4.541227634,
421,3,DAWSON,CS-1,Mixed Use,0.160211088,
315,18,CHERRY CREEK,LR,Commercial,29.88078373,
214,14,BOULDIN CREEK,PUD,Planned Unit Development,11.8808665,
